company_id,industry,company_size,mrr_usd,contract_type,tenure_months,active_users,api_calls_per_month,support_tickets_last_30d,feature_adoption_rate,last_login_days_ago,churn
572fe1bd,Healthcare,11,50.0,Month-to-Month,51,4,33435,1,0.393,15,1
502b2b7e,Manufacturing,251,2184.94,1 Year,55,106,59157,2,0.0,15,0
92ee0a62,Manufacturing,12,517.7,2 Year,26,6,14264,0,0.458,13,0
d40969cc,Technology,21,616.0,Month-to-Month,11,8,19812,2,1.0,1,0
c60d6d9d,Finance,206,1974.0,1 Year,54,94,60219,1,0.764,43,0
22211fbb,Healthcare,57,356.91,Month-to-Month,9,24,11891,0,0.664,18,1
8cec74a4,E-commerce,5,633.62,Month-to-Month,20,1,36841,1,0.792,10,0
5d583647,E-commerce,750,7320.03,2 Year,3,287,38676,1,0.548,11,0
70543973,Healthcare,24,612.97,1 Year,62,12,124417,1,0.522,4,0
42257b90,E-commerce,29,221.58,Month-to-Month,4,11,25731,0,0.542,8,1
e68199ef,Healthcare,80,276.23,2 Year,7,29,11820,2,0.453,4,0
d4974915,Manufacturing,139,2196.16,Month-to-Month,20,45,9551,1,0.469,12,0
c9ce6d06,Finance,1034,10400.03,2 Year,35,457,17347,1,0.597,4,0
8b572900,E-commerce,5,50.0,2 Year,24,1,16350,3,0.613,30,0
92f45d9d,Finance,188,1184.6,2 Year,7,81,69354,2,0.865,34,0
48f7fac6,E-commerce,166,1015.0,1 Year,1,69,45035,4,0.805,2,0
c3783793,E-commerce,44,253.54,1 Year,34,15,57352,2,0.303,17,0
cc6153fe,Finance,177,2732.56,1 Year,102,46,49752,2,0.541,1,0
aced937c,Manufacturing,221,1917.67,Month-to-Month,40,65,32816,3,0.379,2,0
30116a53,Technology,6,783.73,Month-to-Month,15,1,131746,0,0.078,3,1
008b99eb,Manufacturing,753,7464.62,Month-to-Month,57,225,85028,1,0.617,9,0
0afa02ae,Technology,5,50.0,1 Year,13,2,11838,2,0.715,25,0
937f8e02,E-commerce,9,50.0,1 Year,18,5,27553,2,0.614,3,0
605180b9,Manufacturing,36,50.0,1 Year,16,12,16976,2,0.687,5,0
0ab26743,Healthcare,979,9362.02,1 Year,15,353,68459,2,0.533,4,0
c64f4b4b,Finance,34,50.0,1 Year,36,11,21114,2,0.394,4,0
cd8bb02a,Healthcare,52,50.0,1 Year,18,25,51112,1,0.527,8,0
19db3a5f,Finance,467,5426.4,Month-to-Month,10,206,17280,2,0.874,11,0
0548b4b9,Finance,34,445.51,Month-to-Month,8,13,9415,3,0.675,5,0
e161c14e,Finance,9,50.0,Month-to-Month,1,2,461,3,0.296,16,1
90593d4f,Technology,29,400.88,1 Year,22,8,261278,0,0.626,8,0
d03686d5,Finance,426,3842.26,Month-to-Month,7,177,12391,0,0.855,3,0
cde5ea9c,Finance,60,50.0,1 Year,4,25,89262,0,0.752,4,0
b3e386bf,E-commerce,988,11358.35,Month-to-Month,26,393,86322,3,0.857,33,0
f7e38c08,Healthcare,165,1744.8,Month-to-Month,28,76,13456,0,0.302,9,0
1142f316,Technology,20,50.0,1 Year,34,5,26861,3,0.625,6,0
c17de668,Healthcare,58,50.0,Month-to-Month,17,24,90428,2,0.53,2,0
7f54b718,Manufacturing,15,50.0,1 Year,54,6,58528,3,0.719,7,0
1aa9e9b5,Technology,20,1027.25,2 Year,67,6,23092,0,0.43,0,0
d3b54c04,Finance,10000,100000.0,1 Year,40,3395,148933,1,0.427,5,0
cbf07684,Healthcare,251,2886.61,1 Year,25,117,20953,2,0.599,20,0
51079040,Technology,198,1422.46,1 Year,9,56,11917,1,0.416,5,0
7a14f3ac,Technology,21,964.99,Month-to-Month,98,13,7933,1,0.652,18,0
041f0e31,Technology,575,5974.89,1 Year,8,261,60418,2,0.192,0,0
58125455,Technology,284,3167.46,Month-to-Month,6,111,1471,1,0.835,1,0
f76a1a62,Healthcare,918,9403.09,Month-to-Month,15,344,93488,2,0.043,13,1
870ced62,Finance,853,7776.51,Month-to-Month,2,408,18136,1,0.781,13,0
04b82c15,Healthcare,5,50.0,1 Year,93,1,23086,2,0.484,10,0
a367c84a,Technology,10,50.0,1 Year,22,3,80931,1,0.31,25,1
25647e84,E-commerce,12,441.82,2 Year,20,6,84148,2,0.634,7,0
de617580,Finance,13,50.0,Month-to-Month,26,4,25542,3,0.777,12,0
a9ac3ed4,Healthcare,88,792.33,Month-to-Month,17,36,40352,3,0.832,3,0
7af066e0,Finance,23,141.7,1 Year,1,7,56848,2,0.825,9,0
e4ad9b7c,Finance,1222,12616.37,1 Year,23,520,58334,3,0.428,14,0
bfcace01,Technology,950,9837.34,Month-to-Month,31,435,38184,2,0.641,11,0
ee496885,E-commerce,54,50.0,Month-to-Month,13,30,92928,2,0.244,16,1
f2a773b8,Technology,1025,10973.34,1 Year,34,313,92081,3,0.616,5,0
495bde7a,E-commerce,508,4498.38,Month-to-Month,7,129,94458,2,0.668,3,0
33e382dc,Healthcare,27,816.12,1 Year,7,10,15613,1,0.525,3,0
a39fab03,Technology,5,50.0,1 Year,5,1,14846,2,0.233,16,0
10dfa775,Technology,39,471.96,Month-to-Month,12,15,7530,2,0.481,19,1
4c590897,E-commerce,20,312.99,Month-to-Month,46,9,87549,2,0.981,2,0
f8a8c135,Technology,74,838.85,2 Year,43,46,3128,2,0.678,4,0
f3f15180,E-commerce,62,957.25,Month-to-Month,12,22,7268,1,0.503,25,1
96c6c235,E-commerce,60,795.73,Month-to-Month,22,10,130326,1,0.568,0,0
bdb8f847,E-commerce,119,1581.82,1 Year,31,44,6683,1,0.677,4,0
4f7728ad,Healthcare,8,312.31,1 Year,7,3,6464,2,0.29,9,0
e4d8870c,Healthcare,101,377.77,1 Year,5,30,119904,2,0.301,1,0
dc8cc506,Healthcare,28,414.9,1 Year,86,11,18560,0,0.453,11,0
983a3170,E-commerce,73,448.07,2 Year,24,30,106609,2,0.498,3,0
e5a9db47,Finance,229,1735.37,Month-to-Month,96,97,23713,1,0.959,28,0
f5f39203,E-commerce,8,50.0,1 Year,10,3,23391,1,0.614,0,0
ea9abcac,Manufacturing,35,441.62,1 Year,30,13,7261,3,0.497,20,0
7595310c,Finance,45,574.84,Month-to-Month,7,20,125432,1,0.611,9,0
58afff7c,E-commerce,25,778.01,Month-to-Month,8,5,71708,1,0.195,9,0
ebafccfc,Technology,210,2753.65,1 Year,18,63,12786,4,0.419,0,0
1819606f,Finance,18,348.14,Month-to-Month,10,6,65060,3,0.45,23,1
0122eca2,Healthcare,23,488.55,2 Year,5,6,5473,0,0.396,18,0
6a661520,Finance,18,227.65,1 Year,8,7,37097,2,0.847,5,0
2b81158f,Finance,280,3183.61,1 Year,1,102,14669,1,0.732,6,0
6a0f48d2,Manufacturing,26,503.49,2 Year,30,9,95051,2,0.358,3,0
802bf278,Technology,108,1052.76,1 Year,17,52,35782,4,0.347,3,0
b366ab4d,E-commerce,1057,11645.99,1 Year,3,431,127049,2,0.348,6,0
3fca3d38,Technology,48,206.91,1 Year,5,13,43993,0,0.563,0,0
c8fa9d04,Technology,289,3617.23,1 Year,3,98,35056,1,0.64,0,0
ac796d54,Finance,669,6012.85,1 Year,23,317,59197,0,0.683,16,0
9205f963,Technology,254,2946.81,Month-to-Month,3,106,76617,3,0.397,4,0
618cc929,E-commerce,53,1248.28,2 Year,34,27,768,2,0.564,38,0
98086fb5,Technology,143,476.39,Month-to-Month,1,69,36936,2,0.589,0,0
558af755,Technology,7,139.48,1 Year,7,2,74742,1,0.839,27,0
70f7f3c6,Finance,16,517.71,Month-to-Month,54,8,26169,3,0.755,10,0
9f2e4752,Healthcare,22,345.98,1 Year,31,12,2308,1,0.313,3,0
bf3c5259,Finance,1573,15919.08,2 Year,2,348,885,7,0.223,3,0
44292510,E-commerce,16,228.11,2 Year,42,6,78957,1,0.578,31,0
7e1fb446,Technology,15,50.0,1 Year,17,5,11037,1,0.473,4,0
3dd781e1,Technology,11,1294.02,1 Year,46,4,9613,1,0.408,7,0
862565c1,Healthcare,126,1008.23,Month-to-Month,23,40,17093,2,0.449,30,1
e14d3a03,E-commerce,67,887.08,Month-to-Month,28,20,5388,2,0.716,2,0
fb9f5dff,E-commerce,278,2456.58,Month-to-Month,120,136,2737,1,0.299,2,0
259a0c2d,Finance,149,352.07,Month-to-Month,7,42,102887,1,0.97,2,0
1223a035,Healthcare,6,50.0,2 Year,24,2,18032,2,0.456,2,0
310f8f2a,Finance,16,50.0,Month-to-Month,15,4,43660,2,0.727,12,0
36d43e33,Manufacturing,423,4775.78,1 Year,1,222,97526,2,0.466,1,0
0d4fae60,Finance,40,96.57,2 Year,1,16,189622,0,0.296,0,0
599919e7,E-commerce,324,2982.95,1 Year,4,153,58316,2,0.571,12,0
c809c3a1,Technology,43,50.0,Month-to-Month,26,18,149950,4,0.349,33,0
360cbbb5,Finance,12,167.02,Month-to-Month,21,4,27540,2,0.629,7,0
1bc83464,Manufacturing,34,50.0,Month-to-Month,20,13,77923,0,0.595,4,0
b1787516,Manufacturing,12,616.18,1 Year,1,6,138711,2,0.461,0,0
ac119832,Finance,23,381.02,Month-to-Month,16,7,2731,1,0.63,8,0
449b0037,E-commerce,73,444.09,1 Year,63,10,19095,4,0.808,3,0
1eeeb8b5,Finance,117,1595.12,2 Year,13,37,67402,2,0.578,10,0
b85f2741,Finance,5,53.97,Month-to-Month,24,1,18936,2,0.454,31,0
27a7368d,Healthcare,53,540.75,Month-to-Month,37,26,858,2,0.68,0,0
87a0ad0a,E-commerce,22,50.0,1 Year,37,8,82259,2,0.688,11,0
8f7290b5,E-commerce,20,164.46,Month-to-Month,18,9,8999,1,0.543,11,0
4eb7267e,Healthcare,66,820.77,1 Year,47,26,19347,2,0.875,8,0
8f68804e,Finance,23,896.78,1 Year,12,9,120718,4,0.54,12,0
979c9896,Manufacturing,434,3964.05,Month-to-Month,53,180,11714,4,0.898,4,0
530a9f6f,Finance,324,4379.05,2 Year,7,177,112575,1,0.469,1,0
8b1279c3,Healthcare,321,3488.43,Month-to-Month,8,134,27456,3,0.77,0,0
2d1974fe,E-commerce,25,50.0,Month-to-Month,2,12,125132,4,0.556,5,0
325f1483,Manufacturing,12,50.0,2 Year,39,6,104718,1,0.654,16,0
e82f24ad,Finance,61,1320.5,Month-to-Month,13,23,26828,1,0.195,8,1
fe988e8f,E-commerce,43,1051.61,Month-to-Month,7,16,127470,1,1.0,1,0
70992cb9,Technology,21,219.05,2 Year,7,7,50081,3,0.663,3,0
2ca76f08,Finance,9,164.96,Month-to-Month,56,4,32276,3,0.803,10,0
507b793d,Technology,51,50.0,Month-to-Month,44,15,37824,1,0.324,26,0
a050eadb,Finance,29,950.72,1 Year,20,9,3269,2,0.634,19,0
d7cdd453,E-commerce,153,1036.12,Month-to-Month,23,56,82406,2,0.564,10,0
0c1ece60,E-commerce,148,1902.37,1 Year,16,42,17298,3,0.388,2,0
43cce8ea,E-commerce,284,3516.02,Month-to-Month,12,96,15747,1,0.857,20,0
8c0b7077,Healthcare,8,104.08,1 Year,60,4,62833,2,0.629,25,0
3b6064f9,Technology,99,1473.81,Month-to-Month,4,46,23165,1,0.589,23,1
f60ccbc3,Finance,18,1103.82,2 Year,14,6,36094,0,0.725,8,0
b07e86e3,Finance,8,213.98,Month-to-Month,11,3,27372,4,0.429,20,1
ffe509e7,Healthcare,28,192.35,1 Year,17,17,35123,0,0.632,15,0
b8e608b2,E-commerce,271,2676.57,2 Year,15,116,12562,2,0.618,9,0
c2f31ea1,E-commerce,31,50.0,Month-to-Month,18,16,108113,2,0.627,40,1
d07c0d99,Healthcare,571,5327.21,Month-to-Month,4,277,47103,4,0.805,2,0
33b2a500,E-commerce,124,1461.2,Month-to-Month,18,45,13309,5,0.515,9,0
2bcfafd3,Finance,30,218.03,2 Year,7,12,4800,0,0.494,0,0
023fe07d,E-commerce,311,3273.78,1 Year,5,140,38336,2,0.477,5,0
c85f8be4,Finance,106,315.03,2 Year,2,34,31566,5,0.469,17,0
92e2bb5b,E-commerce,13,83.69,1 Year,35,1,134773,5,0.82,2,0
ef12dd27,Finance,887,9385.06,Month-to-Month,14,280,13113,0,0.586,13,0
229ee892,Manufacturing,80,240.54,Month-to-Month,24,14,106686,2,0.805,14,0
dfe04aea,Healthcare,56,568.26,2 Year,32,18,72727,1,0.654,10,0
aed1d3b6,Finance,15,50.0,Month-to-Month,28,3,32361,0,0.425,22,1
c6c693d9,Healthcare,320,2547.27,Month-to-Month,16,156,103483,2,0.299,5,0
c5f6eba9,Manufacturing,118,1583.83,1 Year,12,33,98981,1,0.31,2,0
9365a701,Technology,140,1245.36,Month-to-Month,12,63,62661,2,0.422,10,0
ebe357ef,Finance,25,1161.04,Month-to-Month,25,11,5354,9,0.804,29,1
5ab262ed,E-commerce,190,2116.22,1 Year,17,89,8729,1,0.86,9,0
097047e3,Technology,214,2405.3,Month-to-Month,46,45,44775,3,0.619,21,0
05b1237c,E-commerce,20,50.0,Month-to-Month,50,10,14079,3,0.785,20,0
a4f367e2,E-commerce,6,50.0,1 Year,5,2,40055,3,0.489,0,0
0a8d55f5,Finance,130,933.68,1 Year,4,62,41138,3,0.474,0,0
0836c075,Healthcare,5,50.0,Month-to-Month,24,2,44226,1,0.754,8,0
b12dcde7,Technology,68,1011.95,Month-to-Month,9,32,42180,2,0.633,19,0
f4e3f57e,Manufacturing,27,702.26,2 Year,1,7,23842,2,0.747,4,0
383f4fcf,E-commerce,339,3589.47,Month-to-Month,53,157,11801,2,0.61,21,0
5c4e9149,Finance,30,50.0,Month-to-Month,7,7,36546,1,0.525,4,0
2b7c3c01,Finance,287,3035.37,Month-to-Month,64,112,34176,0,0.557,5,0
b5894d54,Technology,25,50.0,Month-to-Month,31,8,16092,2,0.661,3,0
8a9dc8ef,Technology,244,3101.5,1 Year,35,97,2626,4,0.648,5,0
900eb0be,Technology,1200,11350.92,2 Year,6,298,11506,1,0.414,6,0
6f5eebb7,Technology,11,50.0,Month-to-Month,7,2,40012,2,0.576,6,0
8f8f25a9,E-commerce,84,897.65,1 Year,18,29,38352,1,0.296,3,0
86f11cf2,Healthcare,3371,33812.08,2 Year,5,1273,7172,2,0.53,4,0
70f7a243,Finance,60,563.63,Month-to-Month,9,21,46576,2,0.416,9,0
960e7e42,Technology,59,50.0,Month-to-Month,10,32,27465,0,0.0,0,1
a25055ce,E-commerce,178,2346.67,1 Year,5,78,53018,2,1.0,7,0
8bba2b9b,Healthcare,58,50.0,Month-to-Month,6,25,109465,4,0.446,0,0
25ea1797,Healthcare,5,50.0,1 Year,38,1,18448,2,0.412,9,0
baebd11b,E-commerce,298,2926.51,1 Year,5,77,21332,0,0.925,4,0
5db8c18e,Healthcare,5,50.0,Month-to-Month,1,1,56476,1,0.366,6,1
16953d73,Finance,29,901.31,Month-to-Month,24,16,148949,4,0.31,16,1
23ff09d1,E-commerce,333,2740.89,Month-to-Month,90,140,33288,3,0.559,11,0
273836ce,E-commerce,31,1088.51,Month-to-Month,10,15,9273,3,0.501,26,0
41fb3111,E-commerce,19,707.56,Month-to-Month,4,9,136672,0,0.472,2,1
c27eb8e5,Finance,204,2657.53,1 Year,21,93,31722,3,0.417,5,0
996dfe4d,Technology,15,1093.55,Month-to-Month,57,6,30874,2,0.562,2,0
9271eeec,Finance,8,120.61,1 Year,37,2,38805,2,0.927,1,0
ac340d11,Finance,82,313.51,Month-to-Month,24,31,14551,2,0.278,10,0
0627a8f5,Technology,41,358.5,1 Year,10,14,76784,0,0.768,10,0
db00dcd0,E-commerce,8,50.0,2 Year,19,3,51227,5,0.907,6,0
59033277,Technology,141,1055.4,2 Year,3,36,154910,1,0.475,1,0
050bba27,E-commerce,109,1165.43,Month-to-Month,28,37,11400,0,0.675,8,0
3a53df1a,E-commerce,31,154.15,Month-to-Month,31,13,48265,1,0.576,7,0
318d71b7,Healthcare,35,50.0,Month-to-Month,81,11,36349,5,0.256,8,0
0e8bb012,Finance,110,977.3,Month-to-Month,8,33,112572,1,0.844,5,0
6637b09f,Finance,325,3524.49,2 Year,1,104,1541,4,0.607,0,0
754c4dd3,Finance,35,828.21,1 Year,19,13,71522,2,0.496,5,0
3bc4c983,Manufacturing,145,648.54,1 Year,30,23,48783,2,0.296,3,0
e751311f,Finance,127,1118.4,1 Year,38,41,46767,2,0.704,3,0
2baac6d8,Technology,204,1969.33,1 Year,6,101,104100,3,0.63,10,0
4acbf64b,E-commerce,57,50.0,1 Year,8,24,44555,1,0.721,11,0
ba74661b,Technology,13,70.15,Month-to-Month,18,5,62925,1,0.711,36,1
815dd05e,E-commerce,27,344.0,Month-to-Month,10,5,51881,0,0.437,10,0
20969ce3,E-commerce,91,1169.42,1 Year,48,32,3601,4,0.0,3,0
d572aeeb,E-commerce,835,8388.58,2 Year,16,324,5985,0,0.578,7,0
e00feb5b,Finance,26,50.0,Month-to-Month,39,11,20662,2,0.565,10,0
1496b6b3,Technology,182,2826.02,1 Year,21,93,56304,4,0.633,5,0
82f2b1e1,Finance,33,744.56,Month-to-Month,36,16,1340,1,0.904,10,0
467d325d,Healthcare,64,916.36,Month-to-Month,10,21,74051,1,0.59,17,0
73c22f6b,E-commerce,530,5802.42,Month-to-Month,43,182,11345,1,0.739,9,0
aea5b074,Finance,171,1832.3,1 Year,8,92,40994,0,0.675,1,0
12b6bc22,Manufacturing,8,723.15,Month-to-Month,19,2,11229,2,0.323,3,0
7c77e6cb,Manufacturing,23,258.44,1 Year,6,6,9677,1,0.342,33,0
c8c76463,Manufacturing,359,3590.87,Month-to-Month,16,136,20337,2,0.831,4,0
2e0e99a7,Finance,67,987.61,1 Year,10,35,127238,1,0.424,17,0
0ab87d7d,Healthcare,9,878.18,Month-to-Month,8,2,13580,5,0.674,1,0
94a76c8e,Manufacturing,15,906.02,Month-to-Month,82,5,2486,0,0.395,42,0
6761510f,E-commerce,156,1856.42,Month-to-Month,5,48,106957,1,0.749,2,0
ed2e8400,Manufacturing,242,2678.31,Month-to-Month,38,119,28895,0,0.649,32,0
33d1dc03,Manufacturing,56,908.02,Month-to-Month,100,24,48518,2,0.54,0,0
896d4df5,Technology,2237,22862.81,2 Year,1,1101,108480,0,0.733,8,0
70c2faf4,Finance,187,2519.37,Month-to-Month,29,104,70457,6,0.652,1,0
792e6245,Finance,37,251.71,1 Year,7,9,79605,3,0.456,10,0
2dd52605,Technology,16,819.03,1 Year,1,5,32705,1,0.602,22,1
20b81e5e,Finance,12,291.5,1 Year,13,4,58132,1,0.734,3,0
ffa817dd,Finance,90,1225.47,1 Year,66,36,165888,1,0.822,5,0
2ad87e6f,E-commerce,26,950.97,2 Year,1,11,110267,3,0.574,0,0
14e43f03,Manufacturing,672,7093.53,2 Year,22,235,47392,2,0.957,8,0
011955c8,E-commerce,492,5378.0,Month-to-Month,17,162,4461,1,0.451,9,0
012c979c,E-commerce,141,1215.29,1 Year,50,69,194860,1,0.289,9,0
f55f2297,Healthcare,9,839.16,Month-to-Month,3,4,12776,5,0.318,24,1
55149184,E-commerce,19,537.84,Month-to-Month,28,8,22373,6,0.598,0,0
6773ca51,Manufacturing,359,3653.03,Month-to-Month,28,66,7561,4,0.602,6,0
d19414a1,Healthcare,23,780.54,2 Year,27,11,9112,1,0.625,3,0
ecb64187,E-commerce,293,4223.92,1 Year,69,122,79427,5,0.466,2,0
764149cd,Technology,111,525.54,1 Year,42,42,6863,4,1.0,4,0
28d43da9,Technology,59,188.13,Month-to-Month,2,18,10497,6,0.902,27,1
e1caa080,E-commerce,19,1532.65,Month-to-Month,16,6,9406,0,0.371,2,0
87bed46b,Technology,47,683.35,Month-to-Month,13,14,23116,2,0.58,0,0
c9619f1a,Finance,72,815.43,1 Year,9,14,59320,2,0.61,5,0
a63f3783,Finance,256,2502.31,Month-to-Month,15,81,51618,2,0.737,3,0
cb310718,Technology,14,744.22,1 Year,12,3,64493,2,0.295,3,0
4cf9c3f0,Technology,36,1665.62,2 Year,14,14,64879,3,0.257,6,0
0caef1d1,Technology,58,247.41,2 Year,94,16,150,5,0.356,16,0
f934e72c,Manufacturing,147,1421.56,2 Year,3,69,57686,1,0.901,18,0
d6b06e25,E-commerce,13,50.0,Month-to-Month,62,3,57691,2,0.469,6,0
724e1bf6,E-commerce,7,436.43,2 Year,16,3,3206,4,0.762,18,0
373f943d,Technology,150,2111.2,2 Year,24,72,27854,2,0.718,1,0
6da3e71a,E-commerce,5,860.47,2 Year,43,1,4095,2,0.564,3,0
219a530c,Technology,375,4133.36,2 Year,11,146,10587,3,0.765,1,0
d39e4f04,Technology,43,1689.67,2 Year,14,13,33642,6,0.354,25,0
e4cff269,Technology,5,50.0,Month-to-Month,13,2,604,4,0.506,14,0
b48dd801,Finance,26,50.0,Month-to-Month,12,15,4991,3,0.157,14,1
5edfa6c7,Finance,96,1694.67,1 Year,63,49,4437,1,0.62,11,0
85b95073,Healthcare,24,301.42,1 Year,43,7,6650,3,0.442,0,0
5874f587,E-commerce,56,50.0,Month-to-Month,3,23,2553,3,1.0,2,0
4b8d73a2,Healthcare,165,1491.97,1 Year,3,91,47347,4,0.612,20,0
e5a79424,E-commerce,40,527.83,Month-to-Month,14,18,9837,0,0.764,6,0
10449e90,E-commerce,13,50.0,Month-to-Month,3,6,99244,2,0.731,13,0
c11ae6e9,Finance,34,50.0,Month-to-Month,24,15,108054,3,0.584,2,0
ff4bd385,E-commerce,455,4446.19,Month-to-Month,4,185,58726,0,0.798,0,0
4e88e277,Healthcare,683,6297.73,1 Year,18,268,3358,1,0.607,17,0
ad64b364,Healthcare,5,367.57,2 Year,1,1,111098,3,0.695,2,0
a63a9bdf,Technology,280,1828.1,1 Year,10,90,27123,4,1.0,2,0
1c437b73,Finance,79,835.21,1 Year,28,24,9990,4,0.638,5,0
653a5211,Healthcare,218,2439.75,Month-to-Month,16,79,75429,3,0.494,7,0
72a9ba06,E-commerce,23,184.73,1 Year,92,9,21285,2,0.458,9,0
a31ee638,Technology,5,596.61,2 Year,50,1,35268,4,0.583,25,0
5f6d662e,Finance,131,624.72,1 Year,11,55,67941,0,0.623,14,0
b9bbb13b,E-commerce,13,50.0,Month-to-Month,2,6,5330,3,0.612,7,1
f8f9a94e,Healthcare,6,50.0,2 Year,45,2,9289,2,0.284,1,0
3e74ceff,Healthcare,7,426.36,2 Year,59,3,172983,0,0.147,1,0
c6df7956,E-commerce,134,1449.25,Month-to-Month,42,68,62508,4,0.406,1,0
39bf5e7e,E-commerce,67,1741.68,Month-to-Month,4,29,13141,3,0.612,43,1
8b12503b,E-commerce,176,1357.11,Month-to-Month,120,60,42640,0,0.613,16,1
955d63c7,Technology,148,782.51,Month-to-Month,8,73,10411,2,0.691,0,0
d2ae2a3f,Manufacturing,29,1184.54,2 Year,31,12,100295,3,0.673,3,0
8111737e,E-commerce,49,50.0,2 Year,58,22,29766,2,0.5,3,0
ca5bb8e2,Finance,25,591.53,1 Year,7,13,82219,2,0.396,3,0
007d2503,Technology,39,50.0,1 Year,58,18,178627,1,0.704,0,0
708cedee,Finance,12,50.0,1 Year,9,6,197837,1,0.645,5,0
cc15f41d,E-commerce,98,792.61,Month-to-Month,90,37,7402,2,0.381,19,1
2905fa3a,Healthcare,273,3179.75,1 Year,8,97,144845,1,0.725,1,0
e2cfb5cf,Healthcare,16,50.0,2 Year,74,8,15755,4,0.791,0,0
39734b9c,Manufacturing,373,4018.05,2 Year,2,112,22284,4,0.758,10,0
db2e38ff,Technology,64,1021.43,Month-to-Month,30,37,3253,2,0.793,14,0
c75bb5c8,E-commerce,78,144.15,Month-to-Month,19,41,51866,1,0.45,2,0
61f912b0,E-commerce,5,50.0,Month-to-Month,16,2,51657,2,0.77,23,1
027f6733,Finance,5,838.54,1 Year,7,2,75037,0,0.568,11,0
52051072,Finance,67,995.3,1 Year,30,31,146179,0,1.0,6,0
37285a0e,Finance,178,1649.25,Month-to-Month,6,48,27945,1,0.779,16,1
dab88354,E-commerce,19,397.65,1 Year,20,6,26164,3,0.686,3,0
c8eb482e,Technology,668,6337.37,Month-to-Month,8,286,50959,4,0.943,3,0
584ff5e8,E-commerce,164,2196.85,Month-to-Month,75,68,55042,3,0.499,3,0
7b0dd02e,Finance,13,686.63,2 Year,1,6,29461,0,0.71,2,0
069c8e80,Manufacturing,57,630.45,Month-to-Month,6,24,125868,2,1.0,21,0
9e8f88f8,Technology,2242,22535.35,Month-to-Month,7,612,2679,1,0.763,4,0
86a1411b,E-commerce,8,50.0,Month-to-Month,13,2,70611,2,0.63,20,1
03b06e6b,E-commerce,120,523.98,Month-to-Month,7,56,11656,3,0.546,21,1
b8120aa1,E-commerce,33,141.7,1 Year,17,7,34192,0,0.406,1,0
ccffb0e7,Finance,157,1526.3,1 Year,50,40,95356,2,0.542,0,0
d1e8d6b8,Finance,365,4181.31,Month-to-Month,30,132,19994,2,0.436,34,0
959a4bd5,Technology,30,761.21,Month-to-Month,21,14,114971,0,0.554,2,0
b75c88d9,Healthcare,292,3012.42,Month-to-Month,3,110,29954,2,0.578,4,1
